date,year,credit,maxloss,credit_put,credit_call,ret,spx_move,vix,spot,k_short,k_wing,exp_date
2009-10-01,2009,1.7293270994701082,80.3346099429385,2.729327099470108,0.0,0.021526551267236443,0.0061562363450988755,28.27,1029.85,906.754094436387,824.6901573939784,2009-10-30
2009-12-01,2009,1.3249064765065413,68.3588352387879,2.3249064765065413,0.0,0.019381642063947397,0.005627401114658204,21.92,1108.86,1004.3343874270581,934.6506457117637,2009-12-31
2009-12-31,2009,1.4247748879867999,71.26672523103083,2.4247748879868,0.0,0.019992147574734175,-0.010564074970854653,21.68,1115.1,1006.0627498214734,933.3712497024558,2010-02-02
2010-02-02,2010,1.2670264462838077,66.6767939271756,2.2670264462838077,0.0,0.01900251004371407,0.017809882898887075,21.48,1103.32,1001.4042694398108,933.4604490663514,2010-03-04
2010-03-04,2010,1.0769748780245294,61.16775056357916,2.0769748780245294,0.0,0.017606906713123233,0.057410260291904436,18.72,1122.97,1029.6029118375945,967.3581863959909,2010-04-05
2010-04-05,2010,0.8996713181423885,56.067387407131385,1.8996713181423885,0.0,0.016046250052806216,-0.011655325742774503,17.02,1187.44,1101.989411912089,1045.0223531868153,2010-05-04
2010-05-04,2010,1.6746025735621686,78.5376194104771,2.6746025735621686,0.0,0.021322298614754966,-0.060301635991820035,23.84,1173.6,1053.281667023941,973.0694450399018,2010-06-03
2010-06-03,2010,2.0423694347302828,89.53620543414297,3.0423694347302828,0.0,0.022810542671841474,-0.07276733494736265,29.46,1102.83,965.4621376966901,873.8835628278168,2010-07-02
2010-08-03,2010,1.3843871671752197,70.08720840997248,2.3843871671752197,0.0,0.019752351371698233,-0.0358513467682916,22.63,1120.46,1013.2526066342788,941.7810110571311,2010-09-01
2010-09-01,2010,1.4670632840617799,72.5225403558356,2.46706328406178,0.0,0.020229066395958523,0.06104842218293238,23.89,1080.29,969.3055945401538,895.3159909002565,2010-10-01
2010-10-01,2010,1.5070500905541806,73.65394004078502,2.5070500905541806,0.0,0.020461228411130065,0.03327400893355681,22.5,1146.24,1033.498514802991,958.3375246716517,2010-11-01
2010-11-01,2010,1.4730931284723283,72.65093222265125,2.4730931284723283,0.0,0.020276314197287676,0.018313379151961184,21.83,1184.38,1073.1939619733148,999.0699366221912,2010-12-01
2010-12-01,2010,1.4643466946942851,72.39202328185198,2.464346694694285,0.0,0.020228011710530316,0.04275871218088523,21.36,1206.07,1095.2854450351804,1021.4290750586341,2010-12-31
2010-12-31,2010,1.205185365071607,64.89204414250531,2.205185365071607,0.0,0.018572159052733423,0.03971724817912903,17.75,1257.64,1158.4941557386344,1092.3969262310575,2011-02-01
2011-02-01,2011,1.2045710060377104,64.88578602641174,2.2045710060377104,0.0,0.018564481989127638,0.01788022239386966,17.63,1307.59,1208.454464451326,1142.3641074188765,2011-03-03
2011-03-03,2011,1.3280456932848281,68.45240619449123,2.328045693284828,0.0,0.019401008191173033,0.0010819176991216928,18.6,1330.97,1226.2993221683357,1156.5188702805597,2011-04-01
2011-04-01,2011,1.2900315135144496,67.35604004580331,2.2900315135144496,0.0,0.019152425122338026,0.01817008278232657,17.4,1332.41,1229.4408926610238,1160.794821101706,2011-05-03
2011-05-03,2011,1.1658971008163306,63.78555750321936,2.1658971008163306,0.0,0.018278386933554446,-0.032197667733042334,16.7,1356.62,1259.192818093946,1194.2413634899103,2011-06-02
2011-06-02,2011,1.2332683524445116,65.71448590539681,2.2332683524445116,0.0,0.0187670699306685,0.02035888921047424,18.09,1312.94,1212.518368613238,1145.5706143553966,2011-07-01
2011-07-01,2011,1.0989274575673207,61.85217144673303,2.0989274575673207,0.0,0.017766998827417318,-0.0639112617286347,15.87,1339.67,1245.2433516435494,1182.292252739249,2011-08-02
2011-08-02,2011,1.9211835209606392,85.70702761843599,2.921183520960639,0.0,0.02241570585686002,-0.028037159602886552,24.79,1254.05,1122.6076832909052,1034.9794721515086,2011-08-31
2011-10-31,2011,2.572396670539021,105.0768621087844,3.572396670539021,0.0,0.024481095256497668,-0.0050586451767333784,29.96,1253.3,1091.826111831015,984.1768530516915,2011-11-30
2011-11-30,2011,2.305314355863672,97.07755088586676,3.305314355863672,0.0,0.023747141690605794,0.0085327516520175,27.8,1246.96,1097.885702137404,998.5028368956736,2011-12-30
2011-12-30,2011,1.9494970278272206,86.53535395199785,2.9494970278272206,0.0,0.02252833020026276,0.05287054707379135,23.4,1257.6,1124.8727235302622,1036.3878725504371,2012-02-01
2012-02-01,2012,1.3493955776520465,69.06729570341332,2.3493955776520465,0.0,0.019537402817197014,0.03439343247060256,18.55,1324.09,1218.464963078402,1148.0482717973366,2012-03-02
2012-03-02,2012,1.3020344401530366,67.71124546771595,2.3020344401530366,0.0,0.019229220067644947,0.03607543643173683,17.29,1369.63,1266.1100801381965,1197.0968002303275,2012-04-02
2012-04-02,2012,1.1207416150608012,62.5068641318614,2.120741615060801,0.0,0.017929896670172734,-0.011789660615627473,15.64,1419.04,1323.598591379617,1259.9709856326947,2012-05-02
2012-05-02,2012,1.2631293510448387,66.59949781232812,2.2631293510448387,0.0,-0.3185148627347342,-0.08861806590554155,16.88,1402.31,1300.5160592549407,1232.6534320915678,2012-06-01
2012-06-01,2012,2.304427978550933,96.99323020899183,3.304427978550933,0.0,0.02375864762505146,0.06724359174986705,26.66,1278.04,1129.093512718686,1029.7958545311433,2012-07-02
2012-07-02,2012,1.190771832623895,64.50410143569947,2.190771832623895,0.0,0.018460404937365244,0.0077053915746565504,16.8,1363.98,1265.437690097515,1199.7428168291917,2012-08-01
