date,year,credit,maxloss,credit_put,credit_call,ret,spx_move,vix,spot,k_short,k_wing,exp_date
2009-10-14,2009,1.3473533705666227,69.01808298437999,2.3473533705666227,0.0,0.019521744335778676,-0.004377209208622501,22.86,1092.02,986.4718454675801,916.1064091126335,2009-11-12
2009-11-12,2009,1.6004748571393534,76.4340147758011,2.6004748571393534,0.0,0.020939301197692176,0.024713954600640076,24.24,1087.24,970.1882655505892,892.1537759176488,2009-12-14
2009-12-14,2009,1.291280367498132,67.37963852585125,2.291280367498132,0.0,0.019164251927571742,0.030831785012252144,21.15,1114.11,1011.1036216599757,942.4327027666263,2010-01-14
2010-01-26,2010,1.5623194072178919,75.30751307595807,2.562319407217892,0.0,0.02074586377114958,0.009861102209363093,24.55,1092.17,976.8652512752362,899.9954187920603,2010-02-25
2010-02-25,2010,1.0851766463901313,61.40338260159407,2.0851766463901313,0.0,0.017672913126482375,0.05770939489002114,20.1,1102.94,1009.2071611280237,946.7186018800395,2010-03-26
2010-05-03,2010,1.3221802726421004,68.2681523252406,2.3221802726421004,0.0,0.01936745360183498,-0.08640393924775003,20.19,1202.26,1097.874501103176,1028.2841685052933,2010-06-02
2010-06-02,2010,2.100807212628041,91.30642280020803,3.100807212628041,0.0,0.02300831801531551,-0.06464975691472918,30.17,1098.38,958.269154980746,864.8619249679099,2010-07-01
2010-07-02,2010,2.0221954618252838,89.1748605527589,3.0221954618252838,0.0,0.02267674375143972,0.09571867237771126,30.12,1022.58,885.7844159781234,794.5873599635393,2010-08-03
2010-08-03,2010,1.3843871671752197,70.08720840997248,2.3843871671752197,0.0,0.019752351371698233,-0.0358513467682916,22.63,1120.46,1013.2526066342788,941.7810110571311,2010-09-01
2010-09-01,2010,1.4670632840617799,72.5225403558356,2.46706328406178,0.0,0.020229066395958523,0.06104842218293238,23.89,1080.29,969.3055945401538,895.3159909002565,2010-10-01
2010-10-08,2010,1.346526522204421,68.97630564260064,2.346526522204421,0.0,0.019521580775598818,0.04986482427155292,20.71,1165.15,1059.6657517527926,989.3429195879876,2010-11-08
2011-03-21,2011,1.5169772757622653,73.91098506755037,2.5169772757622653,0.0,0.020524381786764655,0.01096751336280577,20.61,1298.38,1185.2380564850312,1109.8100941417185,2011-04-19
2011-08-31,2011,2.659221199342511,107.83525685416916,3.659221199342511,0.0,0.0246600349173249,-0.07176201297902196,31.62,1218.89,1053.1482829197328,942.6538048662211,2011-09-30
2011-10-05,2011,2.9997653820815913,118.92632754544115,3.9997653820815913,0.0,0.025223728370283662,0.10237493772016482,37.81,1144.03,961.1408606087161,839.2147676811934,2011-11-03
