date,year,credit,maxloss,credit_put,credit_call,ret,spx_move,vix,spot,k_short,k_wing,exp_date
2007-07-30,2007,1.8932801318599175,84.8120869425984,2.8932801318599175,0.0,0.02232323481370417,-0.02819032369683372,20.87,1473.91,1343.8519493883127,1257.1465823138544,2007-08-28
2007-08-28,2007,2.5961800525600225,105.4034152381818,3.5961800525600225,0.0,0.024630891197343015,0.06913066547516,26.3,1432.36,1270.360607063887,1162.3610117731453,2007-09-27
2007-10-23,2007,1.9172160293359823,85.50503770595066,2.9172160293359823,0.0,0.022422258158978102,-0.06766298804282733,20.41,1519.59,1388.45661939707,1301.0343656617833,2007-11-21
2007-11-21,2007,2.6286266793170796,106.38883321543645,3.6286266793170796,0.0,0.02470773106416285,0.04777769150956046,26.84,1416.77,1253.24381015787,1144.2263502631165,2007-12-21
2007-12-27,2007,2.0009937628349164,87.93741311569806,3.0009937628349164,0.0,0.022754748996337157,-0.0772638295278284,20.26,1476.37,1341.4623896822002,1251.5239828036672,2008-01-29
2008-01-29,2008,2.5501554939953976,104.15063741997912,3.5501554939953976,0.0,0.024485260553059312,0.00394920355281525,27.32,1362.3,1202.2488106290377,1095.5480177150632,2008-02-28
2008-03-11,2008,2.3231362613536817,97.48072337772356,3.3231362613536817,0.0,0.023831750328235337,0.030212395411350457,26.36,1320.65,1170.9442105413843,1071.140350902307,2008-04-10
2008-04-10,2008,1.8125011869108647,82.48112976079001,2.8125011869108647,0.0,0.021974737642021167,0.020381463378780662,21.98,1360.55,1234.1095535784484,1149.8159226307475,2008-05-09
2008-06-13,2008,1.8949901165726004,84.8819646600303,2.8949901165726004,0.0,0.02232500301050317,-0.08431431659595745,21.22,1360.03,1229.8645678350956,1143.0876130584927,2008-07-16
2008-07-16,2008,2.1757574585858563,93.22716096171268,3.1757574585858563,0.0,0.023338235725953456,0.01712757756793226,25.1,1245.36,1102.255622369552,1006.8527039492534,2008-08-19
2008-09-19,2008,2.879282358418145,114.42254660483587,3.879282358418145,0.0,-0.7939691685979421,-0.21487076521018578,32.07,1255.08,1079.127256555119,961.8254275918649,2008-10-20
2008-10-20,2008,3.6084714731799554,143.51944932541394,4.608471473179955,0.0,0.025142734940392358,-0.128151004668155,52.97,985.4,764.708118802109,617.5801980035151,2008-11-18
