entry_ts,exit_ts,entry_i,year,days,units,entry_px,gross,net
2011-07-12 00:00:00+00:00,2011-07-20 00:00:00+00:00,1079,2011,8,1,1319.61,0.0068580868589962485,0.004878064983846267
2011-07-28 00:00:00+00:00,2011-08-12 00:00:00+00:00,1091,2011,15,3,1304.84,-0.09721155357966789,-0.10001831654235767
2012-01-31 00:00:00+00:00,2012-02-02 00:00:00+00:00,1220,2012,2,1,1313.53,0.008153601364262686,0.0070867384917825075
2012-02-13 00:00:00+00:00,2012-02-14 00:00:00+00:00,1229,2012,1,1,1343.06,0.006135243399401302,0.0052378972479097665
2012-02-15 00:00:00+00:00,2012-02-17 00:00:00+00:00,1231,2012,2,1,1350.52,0.0055830346829368604,0.0045370235991403305
2012-03-07 00:00:00+00:00,2012-03-09 00:00:00+00:00,1245,2012,2,1,1343.39,0.01680822397070103,0.01575828294257236
2012-03-23 00:00:00+00:00,2012-03-27 00:00:00+00:00,1257,2012,4,1,1392.78,0.01706658625195656,0.015737486657380725
2012-03-30 00:00:00+00:00,2012-04-02 00:00:00+00:00,1262,2012,3,1,1403.31,0.003677020758064975,0.0025060865026260487
2012-04-05 00:00:00+00:00,2012-04-13 00:00:00+00:00,1266,2012,8,3,1398.79,0.00566774181433675,0.004280956655122489
2012-04-16 00:00:00+00:00,2012-04-18 00:00:00+00:00,1272,2012,2,1,1370.27,0.01496785305085857,0.013932514313886214
2012-05-07 00:00:00+00:00,2012-05-22 00:00:00+00:00,1287,2012,15,3,1368.79,-0.03382475384897384,-0.036595916398818526
2012-05-31 00:00:00+00:00,2012-06-07 00:00:00+00:00,1304,2012,7,2,1313.09,0.016282808201564913,0.014746990553265775
2012-07-10 00:00:00+00:00,2012-07-16 00:00:00+00:00,1332,2012,6,2,1352.27,0.007297337973966478,0.0057143470053272255
2012-07-24 00:00:00+00:00,2012-07-27 00:00:00+00:00,1342,2012,3,2,1342.09,0.01902901907789112,0.017898174053540824
2012-08-01 00:00:00+00:00,2012-08-02 00:00:00+00:00,1348,2012,1,1,1377.51,-0.0023738484657098713,-0.00325257378651819
2012-08-03 00:00:00+00:00,2012-08-06 00:00:00+00:00,1350,2012,3,1,1365.5700000000002,0.021258522082353792,0.020067893809910784
2012-08-24 00:00:00+00:00,2012-08-27 00:00:00+00:00,1365,2012,3,1,1403.42,0.006583916432714387,0.005413038030905473
2012-08-28 00:00:00+00:00,2012-09-04 00:00:00+00:00,1367,2012,7,2,1410.44,0.004327489403167961,0.002775094342037823
2012-09-05 00:00:00+00:00,2012-09-07 00:00:00+00:00,1373,2012,2,1,1405.0700000000002,0.019735671532379095,0.018718407663358732
2012-09-26 00:00:00+00:00,2012-10-04 00:00:00+00:00,1388,2012,8,2,1444.5,0.008483457057764321,0.006643271952508621
2012-10-10 00:00:00+00:00,2012-10-17 00:00:00+00:00,1398,2012,7,2,1441.81,0.01486443759443501,0.01317435018569848
2012-10-22 00:00:00+00:00,2012-10-31 00:00:00+00:00,1406,2012,9,1,1429.8000000000002,-0.010001398797034655,-0.012075797314309798
2012-11-08 00:00:00+00:00,2012-11-20 00:00:00+00:00,1420,2012,12,3,1396.07,0.010426559291487022,0.008626187569435327
2012-12-04 00:00:00+00:00,2012-12-06 00:00:00+00:00,1438,2012,2,1,1407.6999999999998,-0.0005611991191303289,-0.0015771333064966398
2012-12-17 00:00:00+00:00,2012-12-18 00:00:00+00:00,1447,2012,1,1,1421.26,0.00867540070078654,0.007819021892936854
2012-12-20 00:00:00+00:00,2012-12-21 00:00:00+00:00,1450,2012,1,1,1432.94,0.008618644186078939,0.007768000482302863
2012-12-24 00:00:00+00:00,2013-01-02 00:00:00+00:00,1452,2012,9,2,1427.4,0.025815828216866232,0.02426597230008241
2013-01-31 00:00:00+00:00,2013-02-01 00:00:00+00:00,1478,2013,1,1,1498.6799999999998,0.0013144900846080443,0.0004944584567755515
2013-02-05 00:00:00+00:00,2013-02-06 00:00:00+00:00,1481,2013,1,1,1496.96,0.00989338392475414,0.009072585625385939
2013-02-21 00:00:00+00:00,2013-02-28 00:00:00+00:00,1493,2013,7,1,1509.57,0.005233278350788462,0.0035013936087758355
2013-03-01 00:00:00+00:00,2013-03-04 00:00:00+00:00,1499,2013,3,1,1513.69,0.0016119548916886384,0.0004929843076632876
2013-03-19 00:00:00+00:00,2013-03-21 00:00:00+00:00,1513,2013,2,1,1553.9499999999998,0.0012291257762477859,0.0002800488718714831
2013-03-22 00:00:00+00:00,2013-03-24 00:00:00+00:00,1516,2013,2,1,1544.63,0.007509889099654776,0.0065569293113703474
2013-03-25 00:00:00+00:00,2013-03-26 00:00:00+00:00,1518,2013,1,1,1558.48,-0.0025024382731893002,-0.0032968668902463756
2013-04-04 00:00:00+00:00,2013-04-09 00:00:00+00:00,1525,2013,5,1,1553.81,0.007822706765949539,0.006415238546254438
2013-04-16 00:00:00+00:00,2013-04-17 00:00:00+00:00,1533,2013,1,1,1547.3000000000002,0.017579008595618006,0.016779943737118972
2013-04-18 00:00:00+00:00,2013-04-23 00:00:00+00:00,1535,2013,5,1,1550.04,0.008022373616164646,0.006613340085847149
2013-05-23 00:00:00+00:00,2013-05-29 00:00:00+00:00,1560,2013,6,1,1659.5300000000002,-0.0022174953149387555,-0.0037367422302300324
2013-05-30 00:00:00+00:00,2013-06-10 00:00:00+00:00,1565,2013,11,1,1648.02,-0.005066686083906702,-0.0073540303920259405
2013-06-12 00:00:00+00:00,2013-06-14 00:00:00+00:00,1574,2013,2,1,1627.8200000000002,0.0062537627010357255,0.005333888609032651
2013-06-21 00:00:00+00:00,2013-06-27 00:00:00+00:00,1581,2013,6,1,1590.5,0.007651681861049919,0.0061062820915853905
2013-08-08 00:00:00+00:00,2013-08-09 00:00:00+00:00,1615,2013,1,1,1692.02,0.003061429533929738,0.0023176421936172385
2013-08-16 00:00:00+00:00,2013-08-26 00:00:00+00:00,1621,2013,10,3,1657.02,0.006472973606247138,0.0046964001778289485
2013-08-28 00:00:00+00:00,2013-09-03 00:00:00+00:00,1629,2013,6,1,1630.26,0.01159324279562779,0.010063177039245372
2013-09-24 00:00:00+00:00,2013-10-09 00:00:00+00:00,1648,2013,15,1,1700.11,-0.027145302362788226,-0.0300251662637515
2013-10-10 00:00:00+00:00,2013-10-11 00:00:00+00:00,1660,2013,1,1,1654.1999999999998,0.020577922863015408,0.01982062326199981
2013-10-16 00:00:00+00:00,2013-10-17 00:00:00+00:00,1664,2013,1,1,1699.76,0.01033087024050472,0.009589774111900942
2013-11-21 00:00:00+00:00,2013-11-22 00:00:00+00:00,1691,2013,1,1,1781.5300000000002,0.007577756198323904,0.006863663146596206
2013-12-02 00:00:00+00:00,2013-12-03 00:00:00+00:00,1698,2013,1,1,1805.51,-0.0024203687600732327,-0.003127006666014244
2013-12-04 00:00:00+00:00,2013-12-09 00:00:00+00:00,1700,2013,5,2,1792.9299999999998,0.009518410557889156,0.00834833153324463
2013-12-12 00:00:00+00:00,2013-12-19 00:00:00+00:00,1706,2013,7,1,1780.83,0.016599001589146622,0.01496802123167286
2014-01-03 00:00:00+00:00,2014-01-09 00:00:00+00:00,1720,2014,6,1,1832.22,0.00266343561362703,0.00120098296056135
2014-01-24 00:00:00+00:00,2014-02-07 00:00:00+00:00,1735,2014,14,3,1829.88,-0.013758343294163958,-0.016097179180064883
2014-02-20 00:00:00+00:00,2014-02-21 00:00:00+00:00,1754,2014,1,1,1828.78,0.005407976902634504,0.004708386495672242
2014-03-04 00:00:00+00:00,2014-03-05 00:00:00+00:00,1762,2014,1,1,1845.92,0.014296394209933228,0.013601881145685831
2014-03-12 00:00:00+00:00,2014-03-18 00:00:00+00:00,1769,2014,6,3,1865.26,0.006886121233292131,0.005886189211758436
2014-04-08 00:00:00+00:00,2014-04-10 00:00:00+00:00,1790,2014,2,1,1846.34,0.013778610656758783,0.01293144304708535
2014-04-11 00:00:00+00:00,2014-04-16 00:00:00+00:00,1793,2014,5,1,1835.59,0.007523466569332005,0.0062147937145248
2014-06-13 00:00:00+00:00,2014-06-18 00:00:00+00:00,1837,2014,5,1,1931.31,0.005405657299967448,0.004123985144798159
2014-07-09 00:00:00+00:00,2014-07-10 00:00:00+00:00,1855,2014,1,1,1966.53,0.003671441574753409,0.0030101538835748693
2014-07-11 00:00:00+00:00,2014-07-15 00:00:00+00:00,1857,2014,4,1,1963.16,0.0071313596446545,0.006010865701782351
2014-07-18 00:00:00+00:00,2014-07-21 00:00:00+00:00,1862,2014,3,1,1955.14,0.011139867221784616,0.010170061564218747
2014-07-30 00:00:00+00:00,2014-08-11 00:00:00+00:00,1870,2014,12,3,1969.72,-0.007263374697590863,-0.009255190199497393
2014-09-05 00:00:00+00:00,2014-09-08 00:00:00+00:00,1897,2014,3,1,2000.23,0.004074531428885697,0.003116255588940624
2014-09-10 00:00:00+00:00,2014-09-17 00:00:00+00:00,1900,2014,7,1,1990.74,0.0044958156263499305,0.0029240454135982235
2014-09-23 00:00:00+00:00,2014-09-25 00:00:00+00:00,1909,2014,2,1,1991.79,0.003343725995210489,0.002536109479413141
2014-09-26 00:00:00+00:00,2014-10-06 00:00:00+00:00,1912,2014,10,1,1968.36,-0.0006198053201649234,-0.0026556202456189393
2014-10-08 00:00:00+00:00,2014-10-09 00:00:00+00:00,1920,2014,1,1,1932.83,0.018247854182726897,0.0175777003294536
2014-10-10 00:00:00+00:00,2014-10-20 00:00:00+00:00,1922,2014,10,1,1923.3,-0.016497686268392875,-0.01854540373316696
2014-12-02 00:00:00+00:00,2014-12-03 00:00:00+00:00,1960,2014,1,1,2051.69,0.007291549893015059,0.006651369047522373
2014-12-09 00:00:00+00:00,2014-12-18 00:00:00+00:00,1965,2014,9,3,2060.6800000000003,-0.005510906778971998,-0.006921226665077759
2015-01-02 00:00:00+00:00,2015-01-09 00:00:00+00:00,1981,2015,7,3,2059.5,0.007106910883072655,0.005905129884355952
2015-01-13 00:00:00+00:00,2015-01-22 00:00:00+00:00,1988,2015,9,2,2030.09,0.01215928778789166,0.010515572438065928
2015-01-29 00:00:00+00:00,2015-02-04 00:00:00+00:00,2000,2015,6,1,1999.51,0.023570774839835718,0.022153985643149195
2015-03-02 00:00:00+00:00,2015-03-03 00:00:00+00:00,2022,2015,1,1,2106.13,0.004648336047632373,0.004020753770607161
2015-03-08 00:00:00+00:00,2015-03-17 00:00:00+00:00,2027,2015,9,1,2074.99,-0.0006120511424149155,-0.002468981175812667
2015-03-26 00:00:00+00:00,2015-03-31 00:00:00+00:00,2043,2015,5,2,2063.78,0.01075039435748415,0.009577558670808256
2015-04-01 00:00:00+00:00,2015-04-07 00:00:00+00:00,2047,2015,6,1,2065.69,0.0065159825530451965,0.005115216142467295
2015-05-01 00:00:00+00:00,2015-05-04 00:00:00+00:00,2069,2015,3,1,2089.44,0.009189065012635167,0.008252134543227096
2015-05-06 00:00:00+00:00,2015-05-11 00:00:00+00:00,2072,2015,5,1,2090.96,0.011463633928913142,0.010221495814787998
2015-05-14 00:00:00+00:00,2015-05-15 00:00:00+00:00,2078,2015,1,1,2099.96,0.00978113868835595,0.009152161363920141
2015-05-27 00:00:00+00:00,2015-06-04 00:00:00+00:00,2087,2015,8,1,2108.12,0.004530102650702972,0.002833524129977818
2015-06-05 00:00:00+00:00,2015-06-11 00:00:00+00:00,2094,2015,6,1,2100.01,0.003104747120251883,0.0017118922449576384
2015-06-16 00:00:00+00:00,2015-06-17 00:00:00+00:00,2101,2015,1,1,2084.52,0.0069368487709400295,0.00630434424551771
2015-06-30 00:00:00+00:00,2015-07-08 00:00:00+00:00,2111,2015,8,1,2062.9700000000003,0.008807689884002157,0.007100729638444646
2015-07-27 00:00:00+00:00,2015-07-30 00:00:00+00:00,2130,2015,3,2,2084.9,0.013255785319357227,0.0123927538902679
2015-08-05 00:00:00+00:00,2015-08-06 00:00:00+00:00,2137,2015,1,1,2088.55,0.005151899643293323,0.0045203207834250995
2015-08-12 00:00:00+00:00,2015-08-17 00:00:00+00:00,2142,2015,5,1,2085.21,0.003855726761333278,0.00261226986730342
2015-11-09 00:00:00+00:00,2015-11-19 00:00:00+00:00,2206,2015,10,3,2097.4700000000003,0.01557410987851652,0.014118673293399086
2016-04-06 00:00:00+00:00,2016-04-07 00:00:00+00:00,2312,2016,1,1,2049.2200000000003,0.008759430417426994,0.008118662087146313
2016-04-08 00:00:00+00:00,2016-04-13 00:00:00+00:00,2314,2016,5,1,2041.46,0.010032035895878533,0.008778301504261204
2016-04-29 00:00:00+00:00,2016-05-11 00:00:00+00:00,2329,2016,12,1,2079.73,0.0008703052800123068,-0.001443859699736667
2016-05-19 00:00:00+00:00,2016-05-25 00:00:00+00:00,2343,2016,6,1,2046.68,0.015341919596614906,0.013936656764450946
2016-06-10 00:00:00+00:00,2016-06-21 00:00:00+00:00,2359,2016,11,3,2115.12,-0.00032052992012835774,-0.0020216267471906183
2016-06-23 00:00:00+00:00,2016-06-24 00:00:00+00:00,2368,2016,1,1,2091.53,0.01538108466051158,0.014750187993690851
2016-06-27 00:00:00+00:00,2016-06-30 00:00:00+00:00,2370,2016,3,1,2022.2,0.029299772524972623,0.028346928262947765
2016-08-03 00:00:00+00:00,2016-08-08 00:00:00+00:00,2397,2016,5,1,2157.69,0.010659547942475589,0.009432200447392113
2016-08-17 00:00:00+00:00,2016-08-18 00:00:00+00:00,2407,2016,1,1,2179.91,0.0014977682564878414,0.0008862559437980719
2016-08-25 00:00:00+00:00,2016-08-30 00:00:00+00:00,2413,2016,5,1,2176.44,0.0020492179890096995,0.0008258631833025203
2016-09-01 00:00:00+00:00,2016-09-05 00:00:00+00:00,2418,2016,4,1,2170.2200000000003,0.004547926016717163,0.0034760321278231544
2016-09-12 00:00:00+00:00,2016-09-22 00:00:00+00:00,2425,2016,10,1,2123.6800000000003,0.018821102991034344,0.01682244447792921
2016-10-12 00:00:00+00:00,2016-10-19 00:00:00+00:00,2447,2016,7,1,2139.52,-0.001002561322165696,-0.0025394003223983544
2016-10-28 00:00:00+00:00,2016-11-08 00:00:00+00:00,2459,2016,11,3,2132.98,0.007100716371963116,0.005406348555739889
2016-12-02 00:00:00+00:00,2016-12-06 00:00:00+00:00,2485,2016,4,1,2191.65,0.006515638902196974,0.005448250557038455
2016-12-29 00:00:00+00:00,2017-01-04 00:00:00+00:00,2503,2016,6,1,2250.1400000000003,0.0029998133449473663,0.0016387298864366366
2017-01-19 00:00:00+00:00,2017-01-23 00:00:00+00:00,2518,2017,4,1,2270.38,9.690007840101877e-05,-0.0009546659345326947
2017-02-16 00:00:00+00:00,2017-02-17 00:00:00+00:00,2538,2017,1,1,2352.495,-0.0024505896930705484,-0.0030284480767582217
2017-03-01 00:00:00+00:00,2017-03-02 00:00:00+00:00,2547,2017,1,1,2365.07,0.011636019229874783,0.01106042098589516
