entry_ts,exit_ts,entry_i,year,days,units,entry_px,gross,net
2009-06-16 00:00:00+00:00,2009-06-26 00:00:00+00:00,557,2009,10,3,925.6,0.003026371233813959,0.0005597487846021118
2009-09-02 00:00:00+00:00,2009-09-08 00:00:00+00:00,612,2009,6,1,996.07,0.022689168431937468,0.020768556259432858
2009-09-28 00:00:00+00:00,2009-09-29 00:00:00+00:00,629,2009,1,1,1045.38,0.01751516195067815,0.016405794224747545
2009-10-02 00:00:00+00:00,2009-10-07 00:00:00+00:00,633,2009,5,1,1029.71,0.023249264355983845,0.021514228250888452
2009-10-29 00:00:00+00:00,2009-11-06 00:00:00+00:00,652,2009,8,1,1043.69,0.02037003324742015,0.018189672114218614
2010-01-04 00:00:00+00:00,2010-01-05 00:00:00+00:00,696,2010,1,1,1116.56,0.014419287812567294,0.013370902096120747
2010-01-25 00:00:00+00:00,2010-02-03 00:00:00+00:00,710,2010,9,1,1092.4,0.007570487001098414,0.005280071402416613
2010-04-28 00:00:00+00:00,2010-04-30 00:00:00+00:00,775,2010,2,1,1184.59,0.018723777847187595,0.01757404835803476
2010-05-07 00:00:00+00:00,2010-05-11 00:00:00+00:00,782,2010,4,2,1127.04,0.028222166345888366,0.026951056337623853
2010-05-19 00:00:00+00:00,2010-05-28 00:00:00+00:00,790,2010,9,2,1119.57,0.008968462023525414,0.00683115036459188
2010-11-15 00:00:00+00:00,2010-11-19 00:00:00+00:00,915,2010,4,2,1200.44,0.005749478849514655,0.004450302223828118
2011-02-24 00:00:00+00:00,2011-03-01 00:00:00+00:00,984,2011,5,1,1307.09,0.016487005485467776,0.01495805833739245
2011-03-17 00:00:00+00:00,2011-03-22 00:00:00+00:00,999,2011,5,1,1261.61,0.029073961049769892,0.027517434182424902
2011-04-12 00:00:00+00:00,2011-04-18 00:00:00+00:00,1017,2011,6,2,1321.96,-0.0035152741805664633,-0.0051142870448173325
2011-05-05 00:00:00+00:00,2011-05-11 00:00:00+00:00,1033,2011,6,2,1344.16,0.009173661468588556,0.00758833665426724
2011-05-24 00:00:00+00:00,2011-05-27 00:00:00+00:00,1046,2011,3,1,1317.7,0.006063595659103083,0.004846364245781892
2011-06-06 00:00:00+00:00,2011-06-15 00:00:00+00:00,1054,2011,9,3,1300.26,-0.0019313216828008202,-0.003928520166848537
2011-07-28 00:00:00+00:00,2011-08-12 00:00:00+00:00,1091,2011,15,3,1304.84,-0.09721155357966789,-0.10001831654235767
2012-03-07 00:00:00+00:00,2012-03-09 00:00:00+00:00,1245,2012,2,1,1343.39,0.01680822397070103,0.01575828294257236
2012-03-23 00:00:00+00:00,2012-03-27 00:00:00+00:00,1257,2012,4,1,1392.78,0.01706658625195656,0.015737486657380725
2012-04-10 00:00:00+00:00,2012-04-13 00:00:00+00:00,1268,2012,3,2,1382.18,0.012497923818953649,0.011386308988868459
2012-05-07 00:00:00+00:00,2012-05-22 00:00:00+00:00,1287,2012,15,3,1368.79,-0.03382475384897384,-0.036595916398818526
2012-07-10 00:00:00+00:00,2012-07-16 00:00:00+00:00,1332,2012,6,2,1352.27,0.007297337973966478,0.0057143470053272255
2012-07-24 00:00:00+00:00,2012-07-27 00:00:00+00:00,1342,2012,3,2,1342.09,0.01902901907789112,0.017898174053540824
2012-08-24 00:00:00+00:00,2012-08-27 00:00:00+00:00,1365,2012,3,1,1403.42,0.006583916432714387,0.005413038030905473
2012-08-31 00:00:00+00:00,2012-09-04 00:00:00+00:00,1370,2012,4,1,1398.14,0.008725878667372289,0.00739953159991918
2012-09-26 00:00:00+00:00,2012-10-04 00:00:00+00:00,1388,2012,8,2,1444.5,0.008483457057764321,0.006643271952508621
2012-10-10 00:00:00+00:00,2012-10-17 00:00:00+00:00,1398,2012,7,2,1441.81,0.01486443759443501,0.01317435018569848
2012-10-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,1413,2012,1,1,1402.81,0.009046128841396994,0.008180496150979585
2012-12-31 00:00:00+00:00,2013-01-02 00:00:00+00:00,1456,2012,2,1,1391.63,0.03883216084735164,0.03780802348485027
2013-04-16 00:00:00+00:00,2013-04-17 00:00:00+00:00,1533,2013,1,1,1547.3000000000002,0.017579008595618006,0.016779943737118972
2013-06-06 00:00:00+00:00,2013-06-10 00:00:00+00:00,1570,2013,4,1,1609.37,0.01882724295842486,0.01759477069357036
2013-06-21 00:00:00+00:00,2013-06-27 00:00:00+00:00,1581,2013,6,1,1590.5,0.007651681861049919,0.0061062820915853905
2013-08-16 00:00:00+00:00,2013-08-26 00:00:00+00:00,1621,2013,10,3,1657.02,0.006472973606247138,0.0046964001778289485
2013-09-26 00:00:00+00:00,2013-10-11 00:00:00+00:00,1650,2013,15,1,1693.0700000000002,-0.00285280584972869,-0.00573511554946546
