ts,open,high,low,close,volume,n_ticks
2022-06-01 01:00:00+00:00,4151.2505,4158.1285,4150.0955,4154.8925,8.849864224807334,2447
2022-06-01 02:00:00+00:00,4154.8775,4155.8,4147.0985,4147.603,8.848696215776727,2294
2022-06-01 03:00:00+00:00,4147.496,4148.633,4144.106,4147.591,7.741640146821737,1519
2022-06-01 04:00:00+00:00,4147.743,4149.609,4140.094,4148.4,8.865800167346606,1740
2022-06-01 05:00:00+00:00,4148.4945,4152.594,4131.597,4135.406,13.734694340375881,3635
2022-06-01 08:00:00+00:00,4141.954,4143.5985,4127.4985,4135.1075,22.68621457724612,6213
2022-06-01 09:00:00+00:00,4135.043,4143.394,4134.5685,4136.894,14.332886364733895,3922
2022-06-01 10:00:00+00:00,4136.9555,4138.381,4128.373,4131.794,14.951666380441566,4091
2022-06-01 13:00:00+00:00,4149.351,4166.433,4143.5895,4152.0075,45.504021153894314,12489
2022-06-01 14:00:00+00:00,4152.1495,4156.0,4095.106,4111.394,62.022885574038355,16957
2022-06-01 16:00:00+00:00,4079.9765,4089.409,4073.424,4083.7235,43.000258092693,11772
2022-06-01 17:00:00+00:00,4083.8,4107.9075,4081.603,4102.1,42.62925408200192,11708
2022-06-01 18:00:00+00:00,4102.0925,4126.9045,4100.891,4115.1,48.78604723508897,13403
2022-06-01 19:00:00+00:00,4115.2525,4129.1045,4099.0925,4099.6045,53.51312935467968,14618
2022-06-01 20:00:00+00:00,4100.133,4103.603,4095.8955,4100.63,6.385874161861921,1736
2022-06-01 22:00:00+00:00,4097.9955,4100.327,4090.806,4091.2925,9.297532235686049,2538
2022-06-01 23:00:00+00:00,4091.4055,4094.491,4086.5315,4088.3255,9.264732234658823,2548
2022-06-02 00:00:00+00:00,4088.3995,4107.5075,4084.47,4104.997,16.586354420310272,4524
2022-06-02 01:00:00+00:00,4105.1015,4108.803,4100.9985,4101.5045,14.091262357017513,3853
2022-06-02 02:00:00+00:00,4101.3945,4106.33,4096.494,4099.8015,12.689838321392017,3481
2022-06-02 04:00:00+00:00,4100.3,4104.8255,4098.994,4103.8015,3.9705641005566576,1094
2022-06-02 06:00:00+00:00,4101.6715,4108.8315,4098.7955,4108.448,9.156378231519739,2535
2022-06-02 07:00:00+00:00,4108.4925,4116.6015,4107.2985,4110.497,15.851945401918329,4331
2022-06-02 08:00:00+00:00,4110.997,4121.806,4106.9955,4115.803,11.750649297808195,3227
2022-06-02 09:00:00+00:00,4115.649,4122.4985,4110.009,4116.3315,11.873648301156209,3292
2022-06-02 11:00:00+00:00,4123.9005,4124.297,4118.106,4121.524,10.08968425601006,2760
2022-06-02 12:00:00+00:00,4121.273,4123.306,4111.4925,4112.2925,26.20761666606859,7185
2022-06-02 15:00:00+00:00,4100.6895,4137.2075,4099.1955,4126.6955,45.21025014637871,12410
2022-06-02 16:00:00+00:00,4126.658,4150.209,4124.3895,4146.706,33.72787485421941,9280
2022-06-02 17:00:00+00:00,4146.795,4155.9225,4139.9015,4153.9045,29.491840748902177,8113
2022-06-02 18:00:00+00:00,4154.0495,4161.4255,4149.9045,4150.697,29.518830703957974,7357
2022-06-02 19:00:00+00:00,4150.546,4177.697,4149.3985,4177.194,40.09893499221653,10753
2022-06-02 22:00:00+00:00,4178.8715,4190.227,4178.8715,4182.2925,9.373504187299204,2097
2022-06-03 02:00:00+00:00,4181.5445,4182.627,4178.2015,4179.3955,5.58585011161631,1252
2022-06-03 03:00:00+00:00,4179.316,4180.1925,4176.3775,4177.3775,4.707900093868375,1055
2022-06-03 05:00:00+00:00,4177.8445,4183.7045,4177.37,4181.8985,5.430150108411908,1214
2022-06-03 08:00:00+00:00,4166.0495,4170.9045,4161.8895,4166.1015,9.5071352351124,2609
2022-06-03 09:00:00+00:00,4166.175,4166.7045,4157.8985,4163.93,7.279890179964241,1992
2022-06-03 10:00:00+00:00,4164.3955,4164.424,4152.6925,4154.209,11.691920289007612,3204
2022-06-03 13:00:00+00:00,4138.146,4142.8285,4116.703,4134.391,57.53754641390947,15589
2022-06-03 14:00:00+00:00,4134.382,4143.409,4110.3895,4115.906,69.16413369404745,18844
2022-06-03 15:00:00+00:00,4115.706,4116.7045,4098.206,4107.57,40.293160991386685,10997
2022-06-03 16:00:00+00:00,4107.4975,4125.227,4100.2075,4124.7315,37.983154933368496,10382
2022-06-03 17:00:00+00:00,4124.897,4135.706,4106.8985,4110.67,39.51667697166158,10793
2022-06-03 19:00:00+00:00,4118.8055,4120.709,4101.3955,4108.9015,44.32279608678709,12048
2022-06-03 20:00:00+00:00,4108.897,4114.9015,4104.873,4114.1985,5.082559125144144,1380
2022-06-05 22:00:00+00:00,4116.4015,4117.909,4105.8955,4109.9015,8.517255218767787,1724
2022-06-06 00:00:00+00:00,4109.9935,4117.2225,4105.8925,4116.2,12.313580302616174,3372
2022-06-06 02:00:00+00:00,4122.5495,4127.2015,4121.397,4126.733,7.142805175700232,1948
2022-06-06 03:00:00+00:00,4126.8295,4130.706,4125.1985,4128.3955,3.8552080947010836,1058
2022-06-06 04:00:00+00:00,4128.269,4132.224,4127.173,4131.2,4.073934100038969,1117
2022-06-06 05:00:00+00:00,4131.277,4132.7225,4126.8925,4130.7225,6.134034150933076,1677
2022-06-06 06:00:00+00:00,4130.2015,4134.9045,4126.1685,4134.4,8.553600210132572,2346
2022-06-06 08:00:00+00:00,4148.549,4157.7255,4148.403,4156.373,14.435592356632696,3912
2022-06-06 09:00:00+00:00,4156.4935,4156.9,4145.6955,4148.906,8.695677214526768,2363
2022-06-06 10:00:00+00:00,4148.879,4154.173,4148.1775,4152.906,8.4409832075753,2319
2022-06-06 12:00:00+00:00,4154.3025,4160.197,4149.8715,4153.9,11.364609279694378,3117
2022-06-06 13:00:00+00:00,4154.0435,4158.4015,4140.203,4154.924,40.59399699417372,11095
2022-06-06 15:00:00+00:00,4164.604,4168.406,4130.9045,4140.6925,43.425544068689305,11877
2022-06-06 18:00:00+00:00,4140.9225,4141.203,4111.897,4121.5495,37.2628689164394,10215
2022-06-06 19:00:00+00:00,4121.7015,4127.2315,4108.706,4120.9,43.87786007609964,12054
2022-06-06 20:00:00+00:00,4120.5925,4121.542,4117.7225,4118.1955,3.8657610955679047,1045
2022-06-06 22:00:00+00:00,4122.273,4124.7,4115.8985,4117.373,7.990035197081852,2195
