ts,open,high,low,close,volume,n_ticks
2022-01-02 23:00:00+00:00,4779.994,4785.9985,4779.994,4783.5105,9.148659631056944,2194
2022-01-03 00:00:00+00:00,4783.5965,4792.4925,4783.1955,4791.4985,7.4003297013405245,1797
2022-01-03 01:00:00+00:00,4791.6085,4793.503,4785.176,4786.6255,9.441479619214078,2268
2022-01-03 02:00:00+00:00,4786.497,4788.5225,4784.1955,4788.03,7.308139705070062,1759
2022-01-03 03:00:00+00:00,4787.9895,4788.7015,4784.676,4786.6955,4.443229820928536,1062
2022-01-03 04:00:00+00:00,4786.807,4787.0105,4785.597,4786.9775,2.611919894843595,628
2022-01-03 05:00:00+00:00,4787.125,4788.2,4785.9955,4787.197,3.040319877443835,732
2022-01-03 06:00:00+00:00,4787.103,4787.997,4781.176,4785.2075,6.490289738343563,1562
2022-01-03 07:00:00+00:00,4785.295,4786.23,4780.1715,4785.1955,6.019949756708229,1457
2022-01-03 08:00:00+00:00,4785.1015,4788.5045,4783.9895,4784.7015,11.324479543225607,2718
2022-01-03 09:00:00+00:00,4785.0015,4791.203,4782.491,4791.0015,8.616919651889475,2081
2022-01-03 10:00:00+00:00,4791.0785,4796.203,4789.8685,4795.9775,5.196499790385133,1254
2022-01-03 11:00:00+00:00,4796.101,4799.694,4795.9985,4799.206,5.51550977784791,1318
2022-01-03 12:00:00+00:00,4798.9985,4798.9985,4792.4955,4793.006,4.560879816272063,1093
2022-01-03 13:00:00+00:00,4792.894,4793.7255,4783.6925,4784.2,5.864479762763949,1415
2022-01-03 14:00:00+00:00,4783.7285,4795.006,4756.176,4767.1055,36.73020352097046,8949
2022-01-03 15:00:00+00:00,4767.2015,4785.7015,4765.4925,4779.1955,52.78320787419216,12809
2022-01-03 16:00:00+00:00,4779.509,4780.1925,4762.967,4771.9985,34.43033861287404,8322
2022-01-03 17:00:00+00:00,4771.8075,4778.303,4768.776,4774.0015,15.263339384604478,3689
2022-01-03 18:00:00+00:00,4774.151,4785.833,4771.4685,4785.4745,9.992351596738672,2440
2022-01-03 19:00:00+00:00,4785.2955,4795.294,4784.2925,4790.497,8.857889642444206,2137
2022-01-03 20:00:00+00:00,4790.6525,4796.509,4784.8,4795.991,17.59613929025363,4290
2022-01-03 21:00:00+00:00,4795.7,4796.8045,4793.4985,4794.2955,2.198929911130108,531
2022-01-03 23:00:00+00:00,4794.3925,4796.003,4791.176,4791.997,6.378629742539488,1538
2022-01-04 00:00:00+00:00,4792.101,4794.8955,4790.167,4793.4925,8.637479651370086,2087
2022-01-04 01:00:00+00:00,4793.23,4795.706,4791.494,4793.5105,8.88226964144269,2141
2022-01-04 02:00:00+00:00,4793.592,4798.2075,4792.9745,4797.9955,5.225009788700845,1267
2022-01-04 03:00:00+00:00,4798.0555,4799.677,4795.9925,4798.9955,2.9729158798998014,717
2022-01-04 04:00:00+00:00,4799.101,4803.9715,4798.694,4803.5,2.1371029135833624,517
2022-01-04 05:00:00+00:00,4803.542,4806.9985,4803.467,4806.206,3.2876698671316262,799
2022-01-04 06:00:00+00:00,4806.351,4807.5015,4804.467,4805.491,2.376648904221156,579
2022-01-04 07:00:00+00:00,4805.0,4806.5,4802.173,4806.5,5.891819761833176,1421
2022-01-04 08:00:00+00:00,4806.0015,4806.53,4801.6685,4802.4985,15.457149376772577,3731
2022-01-04 09:00:00+00:00,4802.233,4805.5075,4802.1925,4805.4985,6.441209740412887,1550
2022-01-04 10:00:00+00:00,4805.598,4814.2075,4805.598,4812.997,6.533389736519894,1575
2022-01-04 11:00:00+00:00,4812.6895,4816.506,4811.4745,4812.206,5.415029781550402,1304
2022-01-04 12:00:00+00:00,4812.0075,4812.706,4804.194,4808.2,7.709139688900905,1859
2022-01-04 13:00:00+00:00,4808.3585,4814.024,4807.197,4811.6955,6.715149729046971,1623
2022-01-04 14:00:00+00:00,4811.8225,4817.194,4808.1985,4814.4015,19.728529205487575,4778
2022-01-04 15:00:00+00:00,4814.0015,4816.067,4793.9,4794.906,30.740258762758458,7428
2022-01-04 16:00:00+00:00,4794.9015,4797.7225,4782.373,4792.6985,31.113468746945728,7539
