ts,open,high,low,close,volume
2007-03-20 00:00:00+00:00,1402.04,1411.53,1400.7,1410.94,0
2007-03-21 00:00:00+00:00,1410.92,1437.77,1409.75,1435.04,0
2007-03-22 00:00:00+00:00,1435.04,1437.66,1429.88,1434.54,0
2007-03-23 00:00:00+00:00,1434.54,1438.89,1433.21,1436.11,0
2007-03-26 00:00:00+00:00,1436.11,1437.65,1423.28,1437.5,0
2007-03-27 00:00:00+00:00,1437.49,1437.49,1425.54,1428.61,0
2007-03-28 00:00:00+00:00,1428.35,1428.35,1414.07,1417.23,0
2007-03-29 00:00:00+00:00,1417.17,1426.24,1413.27,1422.53,0
2007-03-30 00:00:00+00:00,1422.52,1429.22,1408.9,1420.86,0
2007-04-02 00:00:00+00:00,1420.83,1425.49,1416.37,1424.55,0
2007-04-03 00:00:00+00:00,1424.27,1440.57,1424.27,1437.77,0
2007-04-04 00:00:00+00:00,1437.75,1440.16,1435.08,1439.37,0
2007-04-05 00:00:00+00:00,1438.94,1444.88,1436.67,1443.76,0
2007-04-09 00:00:00+00:00,1443.77,1448.1,1443.28,1444.61,0
2007-04-10 00:00:00+00:00,1444.58,1448.73,1443.99,1448.39,0
2007-04-11 00:00:00+00:00,1448.23,1448.39,1436.15,1438.87,0
2007-04-12 00:00:00+00:00,1438.87,1448.02,1433.91,1447.8,0
2007-04-13 00:00:00+00:00,1447.8,1453.11,1444.15,1452.85,0
2007-04-16 00:00:00+00:00,1452.84,1468.62,1452.84,1468.47,0
2007-04-17 00:00:00+00:00,1468.47,1474.35,1467.15,1471.48,0
2007-04-18 00:00:00+00:00,1471.47,1476.57,1466.41,1472.5,0
2007-04-19 00:00:00+00:00,1472.48,1474.23,1464.47,1470.73,0
2007-04-20 00:00:00+00:00,1470.69,1484.74,1470.69,1484.35,0
2007-04-23 00:00:00+00:00,1484.33,1487.32,1480.19,1480.93,0
2007-04-24 00:00:00+00:00,1480.93,1483.82,1473.74,1480.41,0
2007-04-25 00:00:00+00:00,1480.28,1496.59,1480.28,1495.42,0
2007-04-26 00:00:00+00:00,1495.27,1498.02,1491.17,1494.25,0
2007-04-27 00:00:00+00:00,1494.21,1497.32,1488.67,1494.07,0
2007-04-30 00:00:00+00:00,1494.07,1497.16,1482.29,1482.37,0
2007-05-01 00:00:00+00:00,1482.37,1487.27,1476.7,1486.3,0
2007-05-02 00:00:00+00:00,1486.13,1499.1,1486.13,1495.92,0
2007-05-03 00:00:00+00:00,1495.56,1503.34,1495.56,1502.39,0
2007-05-04 00:00:00+00:00,1502.35,1510.34,1501.8,1505.62,0
2007-05-07 00:00:00+00:00,1505.57,1511.0,1505.54,1509.48,0
2007-05-08 00:00:00+00:00,1509.36,1509.36,1500.66,1507.72,0
2007-05-09 00:00:00+00:00,1507.32,1513.8,1503.77,1512.58,0
2007-05-10 00:00:00+00:00,1512.33,1512.33,1491.42,1491.47,0
2007-05-11 00:00:00+00:00,1491.47,1506.24,1491.47,1505.85,0
2007-05-14 00:00:00+00:00,1505.76,1510.9,1498.34,1503.15,0
2007-05-15 00:00:00+00:00,1503.11,1514.83,1500.43,1501.19,0
2007-05-16 00:00:00+00:00,1500.75,1514.15,1500.75,1514.14,0
2007-05-17 00:00:00+00:00,1514.01,1517.14,1509.29,1512.75,0
2007-05-18 00:00:00+00:00,1512.74,1522.75,1512.74,1522.75,0
2007-05-21 00:00:00+00:00,1522.75,1529.87,1522.71,1525.1,0
2007-05-22 00:00:00+00:00,1525.1,1529.24,1522.05,1524.12,0
2007-05-23 00:00:00+00:00,1524.09,1532.43,1521.9,1522.28,0
2007-05-24 00:00:00+00:00,1522.1,1529.31,1505.18,1507.51,0
2007-05-25 00:00:00+00:00,1507.5,1517.41,1507.5,1515.73,0
2007-05-29 00:00:00+00:00,1515.55,1521.8,1512.02,1518.11,0
2007-05-30 00:00:00+00:00,1517.6,1530.23,1510.06,1530.23,0
2007-05-31 00:00:00+00:00,1530.19,1535.56,1528.26,1530.62,0
2007-06-01 00:00:00+00:00,1530.62,1540.56,1530.62,1536.34,0
2007-06-04 00:00:00+00:00,1536.28,1540.53,1532.31,1539.18,0
2007-06-05 00:00:00+00:00,1539.12,1539.12,1525.62,1530.95,0
2007-06-06 00:00:00+00:00,1530.57,1530.57,1514.13,1517.38,0
2007-06-07 00:00:00+00:00,1517.36,1517.36,1490.37,1490.72,0
2007-06-08 00:00:00+00:00,1490.71,1507.76,1487.41,1507.67,0
2007-06-11 00:00:00+00:00,1507.64,1515.53,1503.35,1509.12,0
2007-06-12 00:00:00+00:00,1509.12,1511.33,1492.97,1493.0,0
2007-06-13 00:00:00+00:00,1492.65,1515.7,1492.65,1515.67,0
2007-06-14 00:00:00+00:00,1515.58,1526.45,1515.58,1522.97,0
2007-06-15 00:00:00+00:00,1525.46,1538.71,1525.46,1532.91,0
2007-06-18 00:00:00+00:00,1532.9,1535.44,1529.31,1531.05,0
2007-06-19 00:00:00+00:00,1531.02,1535.85,1525.67,1533.7,0
2007-06-20 00:00:00+00:00,1533.68,1537.32,1512.36,1512.84,0
2007-06-21 00:00:00+00:00,1512.5,1522.9,1504.75,1522.19,0
2007-06-22 00:00:00+00:00,1522.19,1522.19,1500.74,1502.56,0
2007-06-25 00:00:00+00:00,1502.56,1514.29,1492.68,1497.74,0
2007-06-26 00:00:00+00:00,1497.68,1506.12,1490.54,1492.89,0
2007-06-27 00:00:00+00:00,1492.62,1506.8,1484.18,1506.34,0
2007-06-28 00:00:00+00:00,1506.32,1514.84,1503.41,1505.71,0
2007-06-29 00:00:00+00:00,1505.7,1517.53,1493.61,1503.35,0
2007-07-02 00:00:00+00:00,1504.66,1519.45,1504.66,1519.43,0
2007-07-03 00:00:00+00:00,1519.12,1526.01,1519.12,1524.87,0
2007-07-05 00:00:00+00:00,1524.86,1526.57,1517.72,1525.4,0
2007-07-06 00:00:00+00:00,1524.96,1532.4,1520.47,1530.44,0
2007-07-09 00:00:00+00:00,1530.43,1534.26,1527.45,1531.85,0
2007-07-10 00:00:00+00:00,1531.85,1531.85,1510.01,1510.12,0
2007-07-11 00:00:00+00:00,1509.93,1519.34,1506.1,1518.76,0
2007-07-12 00:00:00+00:00,1518.74,1547.92,1518.74,1547.7,0
2007-07-13 00:00:00+00:00,1547.68,1555.1,1544.85,1552.5,0
2007-07-16 00:00:00+00:00,1552.5,1555.9,1546.69,1549.52,0
2007-07-17 00:00:00+00:00,1549.52,1555.32,1547.74,1549.37,0
2007-07-18 00:00:00+00:00,1549.2,1549.2,1533.67,1546.17,0
2007-07-19 00:00:00+00:00,1546.13,1555.2,1546.13,1553.08,0
2007-07-20 00:00:00+00:00,1553.19,1553.19,1529.2,1534.1,0
2007-07-23 00:00:00+00:00,1534.06,1547.23,1534.06,1541.57,0
